報告ID,設備ID,発生日時,発見者ID,異常種別,重大度,症状,原因,対処方法,状態,報告日時,解決日時
AR001,EQ003,2024-01-17 09:30:00,ST003,異音,中,研削時に異音発生,ベアリング摩耗,ベアリング交換,解決済,2024-01-17 09:45:00,2024-01-17 15:20:00
AR002,EQ005,2024-01-12 14:20:00,ST005,性能低下,低,風量不足,フィルタ詰まり,フィルタ清掃・交換,解決済,2024-01-12 14:30:00,2024-01-19 12:40:00
AR003,EQ009,2024-01-10 10:15:00,ST009,警報,高,過負荷警報,負荷機器異常,負荷切り離し,解決済,2024-01-10 10:20:00,2024-01-10 11:30:00
AR004,EQ006,2024-01-08 16:45:00,ST006,漏れ,中,オイル漏れ発見,パッキン劣化,パッキン交換,解決済,2024-01-08 17:00:00,2024-01-09 14:20:00
AR005,EQ002,2024-01-05 11:30:00,ST002,精度異常,高,加工寸法不良,工具摩耗,工具交換・再調整,解決済,2024-01-05 11:45:00,2024-01-05 16:15:00
AR006,EQ011,2024-01-25 08:00:00,ST001,照明不良,低,一部LED点灯せず,LED素子故障,LED交換予定,対応中,2024-01-25 08:15:00,
AR007,EQ013,2024-01-24 13:20:00,ST003,指示値異常,中,流量計指示値ずれ,センサー汚れ,センサー清掃予定,対応中,2024-01-24 13:30:00,
AR008,EQ007,2024-01-23 15:40:00,ST007,振動,低,運転時微振動,マウント劣化,マウント交換予定,対応中,2024-01-23 15:50:00,
AR009,EQ004,2024-01-22 10:10:00,ST004,動作不良,中,送り速度異常,モーター異常,モーター点検予定,対応中,2024-01-22 10:20:00,
AR010,EQ015,2024-01-21 14:30:00,ST005,表示異常,低,温度表示エラー,配線接触不良,配線点検予定,対応中,2024-01-21 14:45:00,
AR011,EQ008,2024-01-20 09:20:00,ST008,過熱,高,モーター過熱,冷却ファン故障,ファン交換,解決済,2024-01-20 09:30:00,2024-01-20 14:45:00
AR012,EQ010,2024-01-18 11:50:00,ST010,接触不良,中,接点焼損,経年劣化,接点交換,解決済,2024-01-18 12:00:00,2024-01-18 17:30:00
AR013,EQ012,2024-01-15 07:30:00,ST002,始動不良,高,発電機始動せず,バッテリー上がり,バッテリー交換,解決済,2024-01-15 07:45:00,2024-01-15 09:20:00
AR014,EQ001,2024-01-10 16:20:00,ST001,切削不良,中,表面粗さ悪化,切削油不足,切削油補給,解決済,2024-01-10 16:30:00,2024-01-10 17:00:00
AR015,EQ016,2024-01-08 13:40:00,ST004,通信エラー,低,PLC通信異常,ケーブル接触不良,ケーブル点検,解決済,2024-01-08 13:50:00,2024-01-08 15:15:00