設備ID,設備名,設備種別ID,設備タグ,設置場所,製造者,型式,設置年月日,稼働状態,重要度
EQ001,CNC旋盤1号機,1,PE-001,第1工場A棟,ヤマザキマザック,INTEGREX i-300,2020-03-15,稼働中,高
EQ002,マシニングセンタ1号機,1,PE-002,第1工場A棟,DMG森精機,DMU 50,2019-07-20,稼働中,高
EQ003,研削盤1号機,1,PE-003,第1工場A棟,岡本工作機械,PSG-52DX,2021-01-10,稼働中,中
EQ004,ボール盤1号機,1,PE-004,第1工場B棟,日立工機,B13RH,2018-11-05,稼働中,低
EQ005,送風機1号機,2,RM-001,動力棟,三菱電機,SF-150,2017-04-12,稼働中,高
EQ006,ポンプ1号機,2,RM-002,ポンプ室,荏原製作所,50DL51.5,2019-09-18,稼働中,高
EQ007,コンプレッサ1号機,2,RM-003,動力棟,日立産機システム,DSP-22VN,2020-06-25,稼働中,中
EQ008,モータ1号機,2,RM-004,第1工場A棟,東芝,IKH3-FBKAW21E,2018-12-14,稼働中,中
EQ009,変圧器1号機,3,EL-001,受電室,三菱電機,1000kVA,2016-08-30,稼働中,高
EQ010,配電盤1号機,3,EL-002,配電室,河村電器産業,ENESTA,2017-11-22,稼働中,高
EQ011,照明設備1号機,3,EL-003,第1工場A棟,パナソニック,LED,2019-05-16,稼働中,低
EQ012,非常用発電機,3,EL-004,発電機室,ヤンマー,AG200S,2018-02-28,待機中,高
EQ013,流量計1号機,4,IN-001,配管室,横河電機,ADMAG AXF,2020-10-08,稼働中,中
EQ014,圧力計1号機,4,IN-002,配管室,長野計器,GV55,2019-12-03,稼働中,中
EQ015,温度計1号機,4,IN-003,第1工場A棟,チノー,DB1000,2021-03-17,稼働中,低
EQ016,制御盤1号機,4,IN-004,制御室,オムロン,CP1E,2020-07-11,稼働中,高
EQ017,配管1号機,5,PI-001,第1工場地下,クボタ,GENEX,2017-06-14,稼働中,中
EQ018,弁1号機,5,PI-002,配管室,キッツ,10K,2019-01-25,稼働中,中
EQ019,エアコン1号機,8,AC-001,事務所,ダイキン,FHCP50DB,2020-04-09,稼働中,中
EQ020,換気扇1号機,8,VF-001,第1工場A棟,三菱電機,EX-25SC3-M,2018-08-21,稼働中,低