計画ID,設備ID,周期ID,点検項目,最終点検日,次回点検日,担当者ID,状態,備考
IP001,EQ001,4,回転精度測定,2024-01-15,2024-02-15,ST001,計画済,マンスリー点検
IP002,EQ001,8,オーバーホール,2023-03-15,2024-03-15,ST001,計画済,年次点検
IP003,EQ002,4,加工精度確認,2024-01-16,2024-02-16,ST002,計画済,マンスリー点検
IP004,EQ002,6,主軸交換,2023-07-16,2024-01-16,ST002,完了,四半期点検
IP005,EQ003,4,研削精度測定,2024-01-17,2024-02-17,ST003,計画済,マンスリー点検
IP006,EQ004,2,穴あけ精度確認,2024-01-18,2024-01-25,ST004,計画済,ウィークリー点検
IP007,EQ005,3,風量測定,2024-01-19,2024-02-02,ST005,計画済,隔週点検
IP008,EQ005,6,フィルタ交換,2023-10-19,2024-01-19,ST005,完了,四半期点検
IP009,EQ006,4,流量・圧力確認,2024-01-20,2024-02-20,ST006,計画済,マンスリー点検
IP010,EQ006,7,ポンプ分解点検,2023-07-20,2024-01-20,ST006,計画済,半年点検
IP011,EQ007,5,圧縮空気品質確認,2024-01-21,2024-03-21,ST007,計画済,隔月点検
IP012,EQ007,7,オイル交換,2023-07-21,2024-01-21,ST007,完了,半年点検
IP013,EQ008,4,絶縁抵抗測定,2024-01-22,2024-02-22,ST008,計画済,マンスリー点検
IP014,EQ009,8,絶縁試験,2023-01-23,2024-01-23,ST009,計画済,年次点検
IP015,EQ009,4,負荷試験,2024-01-23,2024-02-23,ST009,計画済,マンスリー点検
IP016,EQ010,6,継電器試験,2023-07-24,2024-01-24,ST010,計画済,四半期点検
IP017,EQ011,6,照度測定,2023-07-25,2024-01-25,ST001,計画済,四半期点検
IP018,EQ012,8,発電機負荷試験,2023-01-26,2024-01-26,ST002,計画済,年次点検
IP019,EQ013,6,校正確認,2023-07-27,2024-01-27,ST003,計画済,四半期点検
IP020,EQ014,6,精度確認,2023-07-28,2024-01-28,ST004,計画済,四半期点検