履歴ID,設備ID,作業指示ID,実施日,作業者ID,業者ID,作業内容,作業結果,使用部品,作業時間,コスト,次回推奨日
MH001,EQ001,WO001,2024-01-15,ST001,,月次定期点検,良好,なし,7.25,15000,2024-02-15
MH002,EQ002,WO002,2024-01-16,ST002,,日常点検,良好,なし,1.75,3500,2024-01-17
MH003,EQ003,WO003,2024-01-17,ST003,,異音対応,修理完了,ベアリング,4.83,25000,2024-02-17
MH004,EQ004,WO004,2024-01-18,ST004,,清掃作業,完了,なし,0.67,2000,2024-02-18
MH005,EQ005,WO005,2024-01-19,ST005,,予防保全,良好,エアフィルタ,3.33,8000,2024-04-19
MH006,EQ006,WO006,2024-01-20,ST006,,定期点検,良好,なし,7.5,16000,2024-02-20
MH007,EQ007,WO007,2024-01-21,ST007,,部品交換,完了,エンジンオイル,1.33,5000,2024-07-21
MH008,EQ008,WO008,2024-01-22,ST008,,日常点検,良好,なし,1.42,3000,2024-01-23
MH009,EQ009,WO009,2024-01-23,ST009,,校正作業,校正完了,なし,2.58,12000,2024-07-23
MH010,EQ010,WO010,2024-01-24,ST010,,定期点検,良好,なし,7.17,14000,2024-02-24
MH011,EQ001,WO001,2023-12-15,ST001,,月次定期点検,良好,なし,7.5,15000,2024-01-15
MH012,EQ002,WO002,2023-12-16,ST002,,日常点検,良好,なし,1.83,3500,2024-01-16
MH013,EQ005,WO005,2023-10-19,ST005,,予防保全,良好,エアフィルタ,3.5,8000,2024-01-19
MH014,EQ006,WO006,2023-12-20,ST006,,定期点検,良好,なし,7.25,16000,2024-01-20
MH015,EQ007,WO007,2023-07-21,ST007,,部品交換,完了,エンジンオイル,1.5,5000,2024-01-21