作業指示ID,設備ID,作業種別ID,作業内容,優先度,計画開始日時,計画終了日時,実際開始日時,実際終了日時,作業者ID,状態,備考
WO001,EQ001,2,月次定期点検,中,2024-01-15 09:00:00,2024-01-15 17:00:00,2024-01-15 09:15:00,2024-01-15 16:30:00,ST001,完了,正常
WO002,EQ002,1,日常点検,低,2024-01-16 08:00:00,2024-01-16 10:00:00,2024-01-16 08:00:00,2024-01-16 09:45:00,ST002,完了,正常
WO003,EQ003,4,異音対応,高,2024-01-17 10:00:00,2024-01-17 16:00:00,2024-01-17 10:30:00,2024-01-17 15:20:00,ST003,完了,ベアリング交換
WO004,EQ004,7,清掃作業,低,2024-01-18 14:00:00,2024-01-18 15:00:00,2024-01-18 14:10:00,2024-01-18 14:50:00,ST004,完了,正常
WO005,EQ005,3,予防保全,中,2024-01-19 09:00:00,2024-01-19 13:00:00,2024-01-19 09:20:00,2024-01-19 12:40:00,ST005,完了,フィルタ交換
WO006,EQ006,2,定期点検,中,2024-01-20 10:00:00,2024-01-20 18:00:00,2024-01-20 10:15:00,2024-01-20 17:45:00,ST006,完了,正常
WO007,EQ007,8,部品交換,高,2024-01-21 08:00:00,2024-01-21 10:00:00,2024-01-21 08:30:00,2024-01-21 09:50:00,ST007,完了,オイル交換
WO008,EQ008,1,日常点検,低,2024-01-22 08:00:00,2024-01-22 10:00:00,2024-01-22 08:05:00,2024-01-22 09:30:00,ST008,完了,正常
WO009,EQ009,6,校正作業,中,2024-01-23 09:00:00,2024-01-23 12:00:00,2024-01-23 09:10:00,2024-01-23 11:45:00,ST009,完了,精度確認
WO010,EQ010,2,定期点検,中,2024-01-24 13:00:00,2024-01-24 21:00:00,2024-01-24 13:20:00,2024-01-24 20:30:00,ST010,完了,正常
WO011,EQ011,7,清掃作業,低,2024-01-25 15:00:00,2024-01-25 16:00:00,,,,ST001,計画中,
WO012,EQ012,10,年次検査,高,2024-01-26 08:00:00,2024-01-26 12:00:00,,,,ST002,計画中,
WO013,EQ013,6,校正作業,中,2024-01-27 10:00:00,2024-01-27 13:00:00,,,,ST003,計画中,
WO014,EQ014,1,日常点検,低,2024-01-28 08:00:00,2024-01-28 10:00:00,,,,ST004,計画中,
WO015,EQ015,3,予防保全,中,2024-01-29 09:00:00,2024-01-29 13:00:00,,,,ST005,計画中,